drug_code,약품명,보강값,출처
,타진서방정10/5mg,일반,규칙:비통제→일반
,타진서방정20/10mg,일반,규칙:비통제→일반
,텔미로탄정40mg/텔미정40 대체,일반,규칙:비통제→일반
,텔미칸플러스정40/12.5mg,일반,규칙:비통제→일반
STOPAMIN10,토파민정100mg,일반,규칙:비통제→일반
,트라우밀정,일반,규칙:비통제→일반
TRJTDO,트라젠타듀오2.5/500mg,일반,규칙:비통제→일반
TRAJETDU85,트라젠타듀오2.5/850mg,일반,규칙:비통제→일반
TRJTT,트라젠타정5mg,일반,규칙:비통제→일반
,트렌탈서방정400,일반,규칙:비통제→일반
,트리티코25mg,일반,규칙:비통제→일반
,트리티코50mg,일반,규칙:비통제→일반
,파이콤파2mg,일반,규칙:비통제→일반
,파이콤파4mg,일반,규칙:비통제→일반
,팍스로비드,일반,규칙:비통제→일반
,퍼킨씨알정정50-200mg,일반,규칙:비통제→일반
FNR,페노렌캡슐200mg,일반,규칙:비통제→일반
PYR500,페이론캡슐500mg,일반,규칙:비통제→일반
,포시가정10mg/답플로정으로변경,일반,규칙:비통제→일반
,폭세틴캅셀10mg,일반,규칙:비통제→일반
,하이라제정/사용저조로 인해 폐기,일반,규칙:비통제→일반
,한미펠로디핀지속정5mg/사용량저조폐기,일반,규칙:비통제→일반
,현대클로피도그렐정75mg,일반,규칙:비통제→일반
SHDTSLSHCP,현대탐스로신염삼염캡슐,일반,규칙:비통제→일반
GLDC,환인그란닥신정50mg,일반,규칙:비통제→일반
,환인염산이미프라민염산염25mg,일반,규칙:비통제→일반
,대한멸균생리식염수100ml/20개(PP),일반,규칙:비통제→일반
NS2,중외엔에스주사액100ml(PP),일반,규칙:비통제→일반
GTRCCR,겐트리손크림 20g,일반,규칙:비통제→일반
NESP,네스프프리필드시린지30,일반,규칙:비통제→일반
NSPPT10,노스판패취10μg/h,일반,규칙:비통제→일반
NSPPT20,노스판패취20μg/h,일반,규칙:비통제→일반
NZRSOL2,니조랄2%액100ml,일반,규칙:비통제→일반
DMTSNL,더마톱액0.25%20ml,일반,규칙:비통제→일반
,데소나비액10ml,일반,규칙:비통제→일반
DSWONON,데스원로션0.0.5% 110ml,일반,규칙:비통제→일반
,데옥손로오숀0.25%,일반,규칙:비통제→일반
SDRGSDTNSP12,듀로제식디트랜스12μg/5.25 ★,일반,규칙:비통제→일반
,듀로제식디트랜스패취50μg/h ★마약/7.5입고,일반,규칙:비통제→일반
DQASED,디쿠아스점안액3% 5ml,일반,규칙:비통제→일반
LTCRZMGLN,락티케어제마지스20g,일반,규칙:비통제→일반
RNVTNS,리노벤트비액15ml,일반,규칙:비통제→일반
RIVAPC5,리바그민패취5/30매,일반,규칙:비통제→일반
