drug_code,약품명,보강값,출처
TRAJETDU85,트라젠타듀오2.5/850mg,(미해소),공공API/수기
TRJTT,트라젠타정5mg,(미해소),공공API/수기
,트렌탈서방정400,전문의약품,통합본 약품명
,트리티코25mg,(미해소),공공API/수기
,트리티코50mg,(미해소),공공API/수기
,파이콤파2mg,(미해소),공공API/수기
,파이콤파4mg,(미해소),공공API/수기
,팍스로비드,(미해소),공공API/수기
,퍼킨씨알정정50-200mg,(미해소),공공API/수기
FNR,페노렌캡슐200mg,(미해소),공공API/수기
PYR500,페이론캡슐500mg,(미해소),공공API/수기
,포시가정10mg/답플로정으로변경,(미해소),공공API/수기
,폭세틴캅셀10mg,(미해소),공공API/수기
,하이라제정/사용저조로 인해 폐기,(미해소),공공API/수기
,한미펠로디핀지속정5mg/사용량저조폐기,(미해소),공공API/수기
,현대클로피도그렐정75mg,(미해소),공공API/수기
SHDTSLSHCP,현대탐스로신염삼염캡슐,(미해소),공공API/수기
GLDC,환인그란닥신정50mg,(미해소),공공API/수기
,환인염산이미프라민염산염25mg,(미해소),공공API/수기
,대한멸균생리식염수100ml/20개(PP),(미해소),공공API/수기
NS2,중외엔에스주사액100ml(PP),(미해소),공공API/수기
GTRCCR,겐트리손크림 20g,(미해소),공공API/수기
NESP,네스프프리필드시린지30,(미해소),공공API/수기
NSPPT10,노스판패취10μg/h,(미해소),공공API/수기
NSPPT20,노스판패취20μg/h,(미해소),공공API/수기
NZRSOL2,니조랄2%액100ml,(미해소),공공API/수기
DMTSNL,더마톱액0.25%20ml,(미해소),공공API/수기
,데소나비액10ml,(미해소),공공API/수기
DSWONON,데스원로션0.0.5% 110ml,(미해소),공공API/수기
,데옥손로오숀0.25%,(미해소),공공API/수기
SDRGSDTNSP12,듀로제식디트랜스12μg/5.25 ★,(미해소),공공API/수기
,듀로제식디트랜스패취50μg/h ★마약/7.5입고,(미해소),공공API/수기
DQASED,디쿠아스점안액3% 5ml,(미해소),공공API/수기
LTCRZMGLN,락티케어제마지스20g,(미해소),공공API/수기
RNVTNS,리노벤트비액15ml,(미해소),공공API/수기
RIVAPC5,리바그민패취5/30매,(미해소),공공API/수기
,리포직이디오점안겔/생산중단,(미해소),공공API/수기
MXDXEYE,맥시덱스점안액 5ml,(미해소),공공API/수기
,뮤코나액4ml,(미해소),공공API/수기
VIGELC105,바이겔크림,일반의약품,통합본 약품명
VGG,버간점안겔5g,(미해소),공공API/수기
VGMOXEDR,비가목스점안액0.5% 5ml,(미해소),공공API/수기
CTRPER,세트락살플러스점이액_,(미해소),공공API/수기
,스타그민패취10mg,(미해소),공공API/수기
,씨프로신에이치씨점이현탁액7ml,(미해소),공공API/수기
ANR62.5,아노로62.5엘립타750mg,(미해소),공공API/수기
ACRSC20,아크라손크림,(미해소),공공API/수기
ALPTD-EV,알레파타딘점안액5ml,(미해소),공공API/수기
APGPEYD,알파간피점안액0.15% 5ml,(미해소),공공API/수기
,알파간피점안액0.15% 5ml/브리딘티 변경,(미해소),공공API/수기
,에스로반연고10g,(미해소),공공API/수기
EXLPC10,엑셀론패취10/18mg,(미해소),공공API/수기
EXLPC5,엑셀론패취5/9mg,(미해소),공공API/수기
EMLA5CREM,엠라5%크림5g,(미해소),공공API/수기
OKLEY,오클점안액5ml,(미해소),공공API/수기
,옴나리스나잘스프레이120회,(미해소),공공API/수기
,이소켓스프레이15ml/24.05.11삭제예정,(미해소),공공API/수기
CRAVTSOL,크라비트점안액1.5% 5ml,(미해소),공공API/수기
,클로르헥시딘액0.12% 100ml,(미해소),공공API/수기
,포스터100/6에이치에프에이120회,(미해소),공공API/수기
,풀미칸분무용현탁액,전문의약품,통합본 약품명
FUCRENLLQR,풀케어네일라카3.3ml,(미해소),공공API/수기
,프레드포르테점안액 5ml,(미해소),공공API/수기
,호쿠날린패취1mg/70s,(미해소),공공API/수기
FMLED5,후메론점안액5ml,(미해소),공공API/수기
HYALMAX0.5,히아루론맥스점안액0.15%,전문의약품,통합본 약품명
HYALREY,히아루론점안액5ml,(미해소),공공API/수기
NBT150,나보타주150unit,(미해소),공공API/수기
NBT50,나보타주50unit,(미해소),공공API/수기
,노보래피드주100단위,(미해소),공공API/수기
7NVRPD,노보래피드플렉스펜주,(미해소),공공API/수기
D0432,대한멸균생리식염수100ml/20개,(미해소),공공API/수기
D0433,대한멸균생리식염수100ml/50개,(미해소),공공API/수기
D0434,대한멸균생리식염수20ml/50pp,(미해소),공공API/수기
,대한에피네프린주사액/제일약품으로 변경,(미해소),공공API/수기
MUJ25C,마운자로프리필드펜주2.5mg,(미해소),공공API/수기
FLMN05,명문플루마제닐주0.5mg/플루닐주사대체,(미해소),공공API/수기
,박씨그리프테트라주(인플루엔자분할백신)0.5 mL,(미해소),공공API/수기
,베클루리주,(미해소),공공API/수기
,본비바주,전문의약품,통합본 약품명
,부광미다졸람주사5mg,(미해소),공공API/수기
,비유피-4정 20mg,(미해소),공공API/수기
,삭센다펜주6mg,(미해소),공공API/수기
CRBR10,세레브로리진주,(미해소),공공API/수기
,스카이셀플루4가PFS 0.5ml_,(미해소),공공API/수기
,스카이셀플루4가PFS 0.5ml_,(미해소),공공API/수기
,신풍로이솔주사액2ml,(미해소),공공API/수기
,신풍세프악손주,(미해소),공공API/수기
,신풍세프테졸나트륨주/생산중단,(미해소),공공API/수기
,신풍아미카신황산염250mg,(미해소),공공API/수기
,신풍파세타주,(미해소),공공API/수기
,에스포젠프리필드주2000iu,(미해소),공공API/수기
EPRJ05,에포론주사액프리필드시린지2000IU,(미해소),공공API/수기
ENPBJ,엔피본주3ml,(미해소),공공API/수기
WGV05C,위고비프리필드펜0.5mg,(미해소),공공API/수기
UNPRT45,유니페라탐주4.5g,전문의약품,통합본 약품명
,유영레보플록사신주250mg/미사용제약사반품,(미해소),공공API/수기
,유영레보플록사신주500mg,(미해소),공공API/수기
,유한쓰리챔버페리주561ml,(미해소),공공API/수기
,제일탄산수소나트륨주사액8.4%/폐기,(미해소),공공API/수기
TETRA6,지씨플루프리필드시린지주/독감_어르신0.5ml,(미해소),공공API/수기
TETRA5,지씨플루프리필드시린지주/독감_지자체0.5ml,(미해소),공공API/수기
TT-FLU44,지씨플루프리필드시린지주PFS/독감_일반0.5ml,(미해소),공공API/수기
,코미나티제이엔원주2.25ml/24년 코로나백신/모두사용,(미해소),공공API/수기
,코박스플루4가PF주0.5ml,(미해소),공공API/수기
,크녹산주60mg/23.9.30,(미해소),공공API/수기
,포스테오주2.4,(미해소),공공API/수기
,포폴주사12ml,(미해소),공공API/수기
,플루닐주사/플루마제닐주 대체,(미해소),공공API/수기
,하이알 원샷주,(미해소),공공API/수기
,훌그램주사,(미해소),공공API/수기
SHMLGM25KP,휴마로그믹스25퀵펜주,(미해소),공공API/수기
7DOPA,휴온스도파민주사액,(미해소),공공API/수기
,휴온스비타디본주,(미해소),공공API/수기
