drug_code,code_status,약품명,구분,성분명KR,성분명EN,복합단일,효능,제조판매사,총수량,제형,포장,첨가제,전문일반,마약구분,ATC번호,대분류,중분류,소분류,급여구분,보험코드,보험약가,통당단가,구입단가,전월재고,유효기한,보관방법,보관위치,입고일자,상태,비고
GODEXCP,CODE,고덱스캡슐,경구제,오로트산카르니틴/항독성간장엑스/아데닌염산염/피리독신염산염/리보플라빈/시아노코발라민/비페닐디메틸디카르복실레이트,Carnitine Orotate/Antitoxic Liver Extract/Adenine Hydrochloride/Pyridoxine Hydrochloride/Riboflavin/Cyanocobalamin/Biphenyl Dimethyl Dicarboxylate,복합제,,(주)셀트리온제약,300,캡슐,병,"미결정셀룰로오스,이산화규소,스테아르산마그네슘,상,하 적갈색 불투명의 캡슐,무수유당",전문의약품,일반,A05BA,소화관 및 대사,담즙 및 간 치료제,간 치료·향지질성 약물,급여,693900080,2060,93300,311,683,2027-11-17,실온,,,사용,
KOREAEUNDAN,CODE,고려은단비타민씨정,경구제,비타민C,Vitamin C,단일제,,고려제약(주),300,정제,PTP,"히드록시프로필메틸셀룰로스,스테아린산칼슘,카복시메틸셀룰로스칼슘,이산화규소",건강기능식품,일반,0,확인필요,확인필요,확인필요,비급여,,916,26400,88,2329,2027-09-22,실온/차광,,,사용,
GOCALD,CODE,고칼디정,경구제,탄산칼슘/콜레칼시페롤농축분말,Calcium Carbonate/Cholecalciferol Concentrate Powder,복합제,,대화제약(주),90,정제,병,"미결정셀룰로오스,탭쉴드녹색(29G924),포비돈,스테아르산마그네슘,전호화전분,전분글리콜산나트륨",일반의약품,일반,A12AX,소화관 및 대사,무기질 보충제,칼슘제,급여,645604210,543,7290,81,525,2028-03-24,실온,,,사용,
SPRDT,CODE,구주스피로닥톤정,경구제,스피로노락톤,Spironolactone,단일제,,구주제약(주),300,정제,병,"저치환도히드록시프로필셀룰로오스,페퍼민트미크론 비-5010,미결정셀룰로오스,히프로멜로오스,황산칼슘,폴리에틸렌글리콜6000,산화티탄,황색산화철,포비돈,콜로이드성이산화규소,스테아르산마그네슘,탤크",전문의약품,일반,C03DA01,심혈관계,이뇨제,칼륨보존 이뇨제,급여,669800160,988,16200,54,1777,2027-12-25,실온/차광,,,사용,
GRPR1000,CODE,그랑페롤연질캡슐1000아이유,경구제,비타민이프리퍼레이션,Tocopherol Preparation,단일제,,(주)유한양행,60,캡슐,병,"콩기름,부틸히드록시톨루엔,에틸바닐린,젤라틴,농글리세린",일반의약품,일반,A11HA03,소화관 및 대사,비타민,기타 비타민제,급여,642100040,805,20040,334,42,2028-01-16,실온/차광,,,사용,
GLZID80,CODE,그리자이드정,경구제,확인필요,확인필요,단일제,,확인필요,30,정제,병,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,급여,,449,2460,82,0,,실온,,,중지,
GLCN5,CODE,글루코닐정500mg,경구제,확인필요,확인필요,단일제,,확인필요,500,정제,병,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,급여,,159,0,0,0,,,,,중지,
GLUDT1000,CODE,글루코다운정1000mg,경구제,메트포르민염산염,Metformin Hydrochloride,단일제,,한올바이오파마(주),500,정제,병,"포비돈,스테아르산마그네슘,카르나우바납,카르복시메틸셀룰로오스칼슘,오파드라이클리어(03C690001)",전문의약품,일반,A10BA02,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,655604890,356,59000,118,840,2028-08-24,실온,,,사용,
GLUDT250,CODE,글루코다운정250mg,경구제,메트포르민염산염,Metformin Hydrochloride,단일제,,한올바이오파마(주),500,정제,병,"포비돈,스테아르산마그네슘,카르나우바납,카르복시메틸셀룰로오스칼슘,오파드라이클리어(03C690001)",전문의약품,일반,A10BA02,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,655604850,81,24500,49,1687,2027-10-16,실온,,,사용,
GLUDT500,CODE,글루코다운정500mg,경구제,메트포르민염산염,Metformin Hydrochloride,단일제,,한올바이오파마(주),500,정제,병,"포비돈,스테아르산마그네슘,카르나우바납,카르복시메틸셀룰로오스칼슘,오파드라이클리어(03C690001)",전문의약품,일반,A10BA02,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,655602910,750,35000,70,1471,2028-01-14,실온,,,사용,
GLCB10,CODE,글루코바이정100mg,경구제,아카보즈,Acarbose,단일제,,(주)한독,90,정제,병,"미결정셀룰로오스,콜로이드성이산화규소,스테아르산마그네슘,옥수수전분",전문의약품,일반,A10BF01,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,,757,0,0,0,,,,,중지,
SGLP1000,CODE,글루파정1000mg,경구제,확인필요,확인필요,단일제,,확인필요,100,정제,병,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,급여,,10,0,0,0,,,,,중지,
GLATAMSYR,CODE,글리아타민시럽,경구제,콜린알포세레이트,Choline Alfoscerate,단일제,,대웅바이오(주),30,시럽제,포,"시트르산수화물,소르빈산칼륨,자일리톨,시트르산나트륨수화물,D-소르비톨액,혼합과일향91314,정제수",전문의약품,일반,N07AX02,신경계,기타 신경계 약물,부교감신경흥분제(콜린성 약물),급여,,1537,0,0,0,,,,,중지,
NAXEN-F,CODE,낙센에프서방정1000mg,경구제,나프록센,Naproxen,단일제,,(주)종근당,100,정제,병,"히프로멜로오스,황색산화철,스테아르산마그네슘,적색산화철",전문의약품,일반,M01AE02,근골격계,항염 및 항류마티스제,비스테로이드성 항염제(NSAIDs),급여,643300110,30,10900,109,631.5,2026-09-26,실온,,,사용,
NXZ,CODE,낙소졸정500/20mg,경구제,나프록센/에스오메프라졸스트론튬사수화물,Naproxen/Esomeprazole Strontium Tetrahydrate,복합제,,한미약품(주),300,정제,병,"마크로골폴리비닐알콜중합체,크로스카르멜로오스나트륨,폴리소르베이트80,글리세린모노스테아레이트,히프로멜로오스,산화티탄,황색산화철,포비돈,스테아르산마그네슘,콜로이드성이산화규소,메타아크릴산/아크릴산에틸공중합체,카르나우바납,침강탄산칼슘,시트르산트리에틸",전문의약품,일반,M01AE52,근골격계,항염 및 항류마티스제,비스테로이드성 항염제(NSAIDs),급여,643506630,1133,133500,445,1602,2027-07-17,실온,,,사용,
NEBAMINE,CODE,네바민정100mg,경구제,확인필요,확인필요,단일제,,확인필요,600,정제,병,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,급여,,88,0,0,0,,,,,중지,
NBLT,CODE,네비레트정,경구제,네비보롤염산염(미분화),Nebivolol Hydrochloride,단일제,,한국메나리니(주),30,정제,PTP,"폴리소르베이트80,히프로멜로오스2910,미결정셀룰로오스,유당수화물,크로스카멜로오스나트륨,콜로이드성이산화규소,스테아르산마그네슘,옥수수전분",전문의약품,일반,C07AB12,심혈관계,베타차단제,베타차단제,급여,,80,6720,224,0,,실온,,,중지,
NBCT,CODE,네비칸정,경구제,네비보롤염산염,Nebivolol Hydrochloride,단일제,,아주약품(주),30,정제,병,"폴리소르베이트80,히프로멜로오스2910,미결정셀룰로오스,유당수화물,콜로이달실리카,크로스카멜로오스나트륨,스테아르산마그네슘,옥수수전분",전문의약품,일반,C07AB12,심혈관계,베타차단제,베타차단제,급여,654003980,57,6750,225,240.5,2028-10-29,실온,,,사용,
NESTYKAL,CODE,네스티칼현탁액/사용량저조반품,경구제,확인필요,확인필요,단일제,,확인필요,20,,포,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,급여,,234,0,0,0,,,,,중지,
SNESINA12.5,CODE,네시나정12.5mg,경구제,알로글립틴벤조산염,Alogliptin Benzoate,단일제,,(주)셀트리온제약,100,정제,병,"미결정셀룰로오스,폴리에틸렌글리콜8000,크로스카멜로오스나트륨,스테아르산마그네슘,오파드라이옐로우(03A620036),만니톨,히드록시프로필셀룰로오스",전문의약품,일반,A10BH04,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,693903780,204,50300,503,236,2028-08-26,실온,,,사용,
NOCT10,CODE,네오셉트정10mg,경구제,도네페질염산염일수화물,Donepezil Hydrochloride Monohydrate,단일제,,(주)새한제약,100,정제,병,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,탭쉴드주황색(21O746),옥수수전분,히드록시프로필셀룰로오스",전문의약품,일반,N06DA02,신경계,정신활성제,치매 치료제,급여,651300810,424,246000,2460,3203,2028-02-03,실온,,,사용,
NEOCT5,CODE,네오셉트정5mg,경구제,도네페질염산염일수화물,Donepezil Hydrochloride Monohydrate,단일제,,(주)새한제약,30,정제,병,"세프코트 흰색 PVA 30756843,미결정셀룰로오스,유당수화물,스테아르산마그네슘,옥수수전분,히드록시프로필셀룰로오스",전문의약품,일반,N06DA02,신경계,정신활성제,치매 치료제,급여,651300800,187,61800,2060,969.5,2028-02-05,실온,,,사용,
NEXIOM40,CODE,넥시오메정40mg,경구제,에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Trihydrate,단일제,,에이치엘비제약(주),28,정제,PTP,"오파드라이II흰색(85F18422),푸마르산스테아릴나트륨,미결정셀룰로오스,L-아르기닌,크로스포비돈,트리아세틴,아크릴이즈 분홍색(93A640002),산화마그네슘",전문의약품,일반,A02BC05,소화관 및 대사,위산 관련 질환 치료제,소화성 궤양·역류질환 치료제,급여,647303190,110,25648,916,490,2028-01-02,실온,,,사용,
SNXU4,CODE,넥시움정40mg,경구제,에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Trihydrate,단일제,,한국아스트라제네카(주),14,정제,PTP,"메타크릴산 에칠아크릴레이트 공중합체(1:1),합성파라핀,하이프로멜로스,스테아릴푸마레이트나트륨,미결정셀룰로오스,크로스포비돈,구연산트리에틸,산화티탄,스테아린산 글리세릴,스테아르산마그네슘,탈크,백당,마크로골6000,폴리소르베이트 80,히드록시프로필셀룰로오스,적산화철(CI77491)",전문의약품,일반,A02BC05,소화관 및 대사,위산 관련 질환 치료제,소화성 궤양·역류질환 치료제,급여,,240,0,0,0,,,,,중지,
